"track","duration_min","duration_category"
"On BS",4,"Medium (3-5 min)"
"Major Distribution",2,"Short (< 3 min)"
"Spin Bout U",3,"Medium (3-5 min)"
"Knife Talk (with 21 Savage ft. Project Pat)",4,"Medium (3-5 min)"
"Bound 2",3,"Medium (3-5 min)"
"Heartless",3,"Medium (3-5 min)"
"Flashing Lights",3,"Medium (3-5 min)"
"Ni**as In Paris",3,"Medium (3-5 min)"
"Father Stretch My Hands Pt. 1",2,"Short (< 3 min)"
"Stronger",5,"Long (> 5 min)"
"I Wonder",4,"Medium (3-5 min)"
"Fuck You",3,"Medium (3-5 min)"
"Violent Crimes",3,"Medium (3-5 min)"
"Homecoming",3,"Medium (3-5 min)"
"Gold Digger",3,"Medium (3-5 min)"
"Ahora Te Puedes Marchar",3,"Medium (3-5 min)"
"La Incondicional",4,"Medium (3-5 min)"
"Hasta Que Me Olvides",4,"Medium (3-5 min)"
"La Media Vuelta",2,"Short (< 3 min)"
"Culpable O No - Miénteme Como Siempre",3,"Medium (3-5 min)"
"Por Debajo De La Mesa",3,"Medium (3-5 min)"
"Tengo Todo Excepto a Ti",4,"Medium (3-5 min)"
"No Sé Tú",3,"Medium (3-5 min)"
"La bikina - En vivo",2,"Short (< 3 min)"
"A Veces",4,"Medium (3-5 min)"
"Sabor a Mi",3,"Medium (3-5 min)"
"CUFF IT",3,"Medium (3-5 min)"
"Crazy In Love (feat. Jay-Z)",3,"Medium (3-5 min)"
"ALIEN SUPERSTAR",3,"Medium (3-5 min)"
"BREAK MY SOUL",4,"Medium (3-5 min)"
"Dancin (feat. Luvli) - Danny Avila & Jumpa Remix",3,"Medium (3-5 min)"
"Halo",4,"Medium (3-5 min)"
"Love On Top",4,"Medium (3-5 min)"
"ENERGY (feat. Beam)",1,"Short (< 3 min)"
"Perfect Duet (Ed Sheeran & Beyoncé)",4,"Medium (3-5 min)"
"Drunk in Love (feat. Jay-Z)",5,"Long (> 5 min)"
"Run the World (Girls)",3,"Medium (3-5 min)"
"ULALA (OOH LA LA)",3,"Medium (3-5 min)"
"La Santa",3,"Medium (3-5 min)"
"Gasolina",3,"Medium (3-5 min)"
"X ÚLTIMA VEZ",3,"Medium (3-5 min)"
"Lo Que Pasó, Pasó",3,"Medium (3-5 min)"
"Despacito",3,"Medium (3-5 min)"
"Con Calma",3,"Medium (3-5 min)"
"Tu Príncipe",3,"Medium (3-5 min)"
"Llamado de Emergencia",3,"Medium (3-5 min)"
"Ella Me Levanto",3,"Medium (3-5 min)"
"Used (feat. Don Toliver)",2,"Short (< 3 min)"
"No Idea",2,"Short (< 3 min)"
"Outer Level",7,"Long (> 5 min)"
"After Party",2,"Short (< 3 min)"
"Lemonade (feat. Gunna, Don Toliver & NAV)",3,"Medium (3-5 min)"
"Do It Right",2,"Short (< 3 min)"
"Cardigan",2,"Short (< 3 min)"
"Honest (feat. Don Toliver)",3,"Medium (3-5 min)"
"Mystery Lady",3,"Medium (3-5 min)"
"Drugs N Hella Melodies (feat. Kali Uchis)",3,"Medium (3-5 min)"
"Dancin (feat. Luvli) - BOXINBOX Remix",3,"Medium (3-5 min)"
"Scrape It Off (feat. Lil Uzi Vert & Don Toliver)",2,"Short (< 3 min)"
"La Mitad",2,"Short (< 3 min)"
"KESI - Remix",2,"Short (< 3 min)"
"Desconocidos",3,"Medium (3-5 min)"
"Aeropuerto",2,"Short (< 3 min)"
"Índigo",3,"Medium (3-5 min)"
"Si Me Dices Que Sí",3,"Medium (3-5 min)"
"El Mismo Aire - con Pablo Alborán",3,"Medium (3-5 min)"
"Bebiendo Sola",2,"Short (< 3 min)"
