"track","tempo","tempo_category"
"Mama - 2007 Remaster","82.898","Lambat"
"Creepin' (with The Weeknd & 21 Savage)","97.95","Sedang"
"Rich Flex","153.15","Cepat"
"Jimmy Cooks (feat. 21 Savage)","165.921","Cepat"
"Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage]","87.933","Lambat"
"Pussy & Millions (feat. Travis Scott)","122.03","Cepat"
"Glock In My Lap","130.029","Cepat"
"On BS","158.014","Cepat"
"Major Distribution","131.016","Cepat"
"Spin Bout U","129.963","Cepat"
"Knife Talk (with 21 Savage ft. Project Pat)","145.887","Cepat"
"Bound 2","148.913","Cepat"
"Heartless","87.999","Lambat"
"Flashing Lights","90.482","Sedang"
"Ni**as In Paris","140.022","Cepat"
"Father Stretch My Hands Pt. 1","113.088","Sedang"
"Stronger","103.992","Sedang"
"I Wonder","191.385","Cepat"
"Fuck You","127.43","Cepat"
"Violent Crimes","109.813","Sedang"
"Homecoming","86.917","Lambat"
"Gold Digger","93.034","Sedang"
"Ahora Te Puedes Marchar","133.263","Cepat"
"La Incondicional","155.127","Cepat"
"Hasta Que Me Olvides","119.828","Sedang"
"La Media Vuelta","97.959","Sedang"
"Culpable O No - Miénteme Como Siempre","70.276","Lambat"
"Por Debajo De La Mesa","144.276","Cepat"
"Tengo Todo Excepto a Ti","147.977","Cepat"
"No Sé Tú","76.54","Lambat"
"La bikina - En vivo","160.397","Cepat"
"A Veces","164.961","Cepat"
"Sabor a Mi","89.929","Lambat"
"CUFF IT","115.042","Sedang"
"Crazy In Love (feat. Jay-Z)","99.165","Sedang"
"ALIEN SUPERSTAR","121.892","Cepat"
"BREAK MY SOUL","114.942","Sedang"
"Dancin (feat. Luvli) - Danny Avila & Jumpa Remix","125.001","Cepat"
"Halo","79.983","Lambat"
"Love On Top","94.103","Sedang"
"ENERGY (feat. Beam)","114.991","Sedang"
"Perfect Duet (Ed Sheeran & Beyoncé)","94.992","Sedang"
